sample-id,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRRATIO,B,LSTAT
sample0,0.08244,30,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36
sample1,0.09252,30,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
sample2,0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38
sample3,0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4
sample4,0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22
sample5,0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
sample6,0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5
sample7,0.19133,22,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46
sample8,0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16
sample9,0.19657,22,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15
sample10,0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
sample11,0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56
sample12,0.1403,22,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,396.28,5.9
sample13,0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
sample14,0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
sample15,0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
sample16,0.04819,80,3.64,0,0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57
sample17,0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
sample18,0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
sample19,0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,389.7,5.12
sample20,0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,383.29,7.79
sample21,0.65665,20,3.97,0,0.647,6.842,100,2.0107,5,264,13,391.93,6.9
sample22,0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,392.8,9.59
sample23,0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,388.37,7.26
sample24,0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91
sample25,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,393.42,11.25
sample26,0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1
sample27,0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,392.4,10.45
sample28,0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,384.07,14.79
sample29,0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,384.54,7.44
sample30,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,390.3,3.16
sample31,0.09065,20,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
sample32,0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,388.65,13
sample33,0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59
sample34,0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
sample35,0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
